Match_ID,Season,Team1,Team2,Venue,City,Toss_Winner,Toss_Decision,Winner,Win_Margin,Win_Type,Win_By,Player_of_Match,Match_Type,Target_Score,Overs,Toss_Winner_Won_Match,Batting_First_Won
123,2010,Chennai Super Kings,Kings XI Punjab,Punjab Cricket Association Stadium,Mohali,Chennai Super Kings,Bat,Chennai Super Kings,98,Runs,98 runs,Murali Vijay,League,215,20,Yes,Yes
124,2010,Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,Field,Royal Challengers Bangalore,71,Runs,71 runs,Rajat Patidar,League,172,20,No,Yes
125,2010,Delhi Daredevils,Mumbai Indians,HPCA Stadium,Dharamsala,Delhi Daredevils,Field,Delhi Daredevils,9,Wickets,9 wickets,Shikhar Dhawan,League,148,20,Yes,No
126,2010,Kings XI Punjab,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,10,Wickets,10 wickets,Faf du Plessis,League,171,20,Yes,Yes
127,2010,Rajasthan Royals,Mumbai Indians,BRSABV Ekana Cricket Stadium,Lucknow,Rajasthan Royals,Field,,21,Runs,21 runs,Sachin Tendulkar,League,168,20,No,Yes
128,2010,Mumbai Indians,Kings XI Punjab,Eden Gardens,Kolkata,Mumbai Indians,Field,Mumbai Indians,49,Runs,49 runs,Ishan Kishan,League,211,20,Yes,No
129,2010,Deccan Chargers,Kings XI Punjab,MA Chidambaram Stadium,Chennai,Kings XI Punjab,Bat,Deccan Chargers,51,Runs,51 runs,Rohit Sharma,League,197,20,No,No
130,2010,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Field,Rajasthan Royals,5,Wickets,5 wickets,Steven Smith,League,169,20,Yes,No
131,2010,Delhi Daredevils,Mumbai Indians,VCA Stadium,Nagpur,Mumbai Indians,Field,Delhi Daredevils,1,Wickets,1 wickets,Axar Patel,League,204,20,No,Yes
132,2010,Rajasthan Royals,Royal Challengers Bangalore,Arun Jaitley Stadium,Delhi,Rajasthan Royals,Bat,Rajasthan Royals,85,Runs,85 runs,Shane Watson,League,220,20,Yes,Yes
133,2010,Rajasthan Royals,Deccan Chargers,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Deccan Chargers,Field,Rajasthan Royals,86,Runs,86 runs,Jos Buttler,League,191,20,No,Yes
134,2010,Mumbai Indians,Chennai Super Kings,Holkar Cricket Stadium,Indore,Chennai Super Kings,Bat,Chennai Super Kings,37,Runs,37 runs,Suresh Raina,League,175,20,Yes,Yes
135,2010,Kings XI Punjab,Rajasthan Royals,VCA Stadium,Nagpur,Kings XI Punjab,Field,Kings XI Punjab,53,Runs,53 runs,Michael Hussey,League,144,20,Yes,No
136,2010,Kings XI Punjab,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,,Kings XI Punjab,Bat,Kings XI Punjab,5,Wickets,5 wickets,David Miller,League,188,20,Yes,Yes
137,2010,Kings XI Punjab,Rajasthan Royals,Rajiv Gandhi International Stadium,Hyderabad,Kings XI Punjab,Bat,Kings XI Punjab,5,Wickets,5 wickets,Chris Gayle,League,166,20,Yes,Yes
138,2010,Royal Challengers Bangalore,Deccan Chargers,MA Chidambaram Stadium,Chennai,Royal Challengers Bangalore,Field,Deccan Chargers,3,Wickets,3 wickets,Andrew Symonds,League,187,20,No,Yes
